#;Control cluster;Control title;Control;Control description;Reference frameworks;Lifecycle phase;Segment;Threats addressed;Criterio
1;Policies & procedures;Information Security Policies;An Information Security Policy (ISP) and other relevant cybersecurity policies and guidelines are defined and documented (e.g. change management policy  remote access policy  incident response  and other) ;"ISP and topic-specific policies  procedures and other types of documentation are defined  approved by management  published  communicated to and acknowledged by relevant personnel and relevant interested parties  and reviewed at planned intervals and if significant changes occur. Although primarily focused on management aspects of cybersecurity  the control has wide applicability across the Threat Taxonomy.";"ISO27kNIST IR 8401 NIST IR 8411 SPARTA";All ;"Ground Space User Human Resources";Inadequate security planning/management;Mitigation Presence   
96;Incident Response;Incident Response Plan;Procedures and processes for Incident Response are defined and documented;"Incident response procedures and processes are defined and documented in an Incident Response Plan. The Incident Response Plan describes in detail the process of recovery after a cybersecurity incident  including the specific actions which need to be taken and the roles and responsibilities of stakeholders involved. This includes: - Incident identification - Conditions for activation and communication of incident response plan - Incident analysis - Categorization of incidents - Incident containment - Incident mitigation - Information collection and post-mortem (forensic) analysis  including incident categorization These Incindent Response Plan is regularly reviewed and updated  based on current trends and developments in technology and threat landscape  regulatory requirements and lessons learned from the materialized incidents.  Additionally  adding Security Information and Event Management (SIEM) measure could enhance threat visibility and response times. For more details on SIEM  please refer to control #94  within Monitoring & Alerting.";"BSI Profile for Space BSI TR-03184 ISO27k NIST IR 8270 NIST IR 8323r1 NIST IR 8401";Phase E;User;Preventing services, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Inadequate security planning/management;Mitigation Presence  Response Delay
97;Incident Response;Incident Thresholds;Incident thresholds are defined and documented based on an understanding of potential impact;Incident thresholds are defined and documented based on an understanding of potential impact to the mission enabling proper reporting  alerting thresholds  and the development of adequate incident alert procedures. Required notification or alarm communication time upon nearing and exceeding thresholds is defined and documented.;NIST IR 8323r1;Phase E;Ground;Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Data Modification, Inadequate security planning/management;Mitigation Presence  Response Delay
98;BCM / Disaster Recovery;Emergency power sources;Emergency power generators and UPS systems are in place - power chain is available and dimensioned properly;The function of security equipment and the availability of critical installations are guaranteed in the event of power failures to avoid damage due to uncontrolled power failures. In addition to the general solutions such sa UPS & generators  the whole power chain (power grid lines  transformers  UPS  generators) are available and dimensioned properly.;BSI TR-03184;All;"Ground Space User";Failure of power supply, Failure of air conditioning or water supply, Failure of communication networks, Security services failure;Mitigation Presence  Resilience Impact
99;BCM / Disaster Recovery;Incident Recovery Plan;Procedures and processes for Incident Recovery are defined and documented;"Incident Recovery procedures and processes are defined and documented in an Incident Recovery Plan. It Incident Recovery Plan describes in detail the recovery after a cybersecurity incident  including the specific actions which need to be taken and the roles and responsibilities of stakeholders involved.  These Incident Recovery Plan is regularly reviewed and updated  based on current trends and developments in technology and threat landscape  regulatory requirements and lessons learned from the materialized incidents. Additionally  global drills are performed to assess the staff's capability to respond to incident  as well as drills for specific categories of staff.";"BSI TR-03184 NIST IR 8270   NIST IR 8323r1 NIST IR 8401";Phase E;"Space User";Preventing services, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Inadequate security planning/management;Mitigation Presence  Response Delay
100;BCM / Disaster Recovery;Cabling security;A secure cabling protocol is defined ;Cables carrying power  data or supporting information services are protected from interception  interference or damage.;ISO27k;"Phase D Phase E Phase E Phase E";"Ground User";Malicious code/software/activity: Network exploit, Data Modification, Failure of power supply;Mitigation Presence  
101;BCM / Disaster Recovery;Critical Services Delivery Requirements;Resilience requirements to support delivery of critical services are established for all operating states ;Resilience requirements supporting the delivery of critical services are established for all operating states (e.g. under duress/attack  during recovery  normal operations). Resilience requirements are defined based on the ability for the space segment to function autonomously  the criticality of the services provided by the payload  the system’s architecture  and procedural considerations (e.g. recovery time  periods of outage).;NIST IR 8401;Phase E;User;Preventing services, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Operating errors, Inadequate security planning/management;Mitigation Presence  Resilience Impact
102;BCM / Disaster Recovery;Capacity to ensure availability;The required level of availability and capacity for the ground segment is maintained and established;"Command  response  and telemetry tend to be low-bandwidth operations and the command link is sensitive to delay and jitter. All services and communications pathways to and from the spacecraft are examined to ensure they have adequate capacity to handle peak throughput requirements. Cyber/counterspace-relevant cases are considered when determining peak command and telemetry throughput for system sizing. Cyber-relevant cases may include downtime at one site shifting additional throughput to another site or provider.  Contingency cases may require high-volume interaction with the vehicle for activities such as root cause analysis or anomaly response. Measures for addressing such cases may encompass high-availability networks  additional power sources  air-conditioning systems  redundant frequencies  load balancers  hot-swaps and others.";"BSI TR-03184 ISO27k NIST IR 8270 NIST IR 8323r1 NIST IR 8401";Phase E;"Ground Space User";Malicious code/software/activity: Network exploit, Failure of power supply, Security services failure, Denial of Service (DoS);Mitigation Presence  Resilience Impact
103;BCM / Disaster Recovery;System redundancy ;Redundancy is introduced for critical infrastructure and data is backed up ;Due to the sensitivity of space communication ground segment organizations employ one or more redundant facilities which include transmitters  receivers  and servers that are fully backed up (with critical databases  reference software  gold codes  keys etc.). These facilities need to be subject to the same level of cybersecurity protection as primary ones. In a disasterour event  the redundant infrastructure and the backed up data can can generate commands  process telemetry  and other critical operations. Additionally  redunancy can be achieved through interoperability across different systems and solutions used by different providers. For data-related backup please refer to control #44. ;NIST IR 8401;Phase E;"Ground Space User";Inadequate security planning/management, Loss during shipping, Denial of Service (DoS), Resource exhaustion, Environmental hazards, Atmospheric hazards;Mitigation Presence  Resilience Impact
104;Capacity building;Information sharing;Information is actively shared to achieve broader cybersecurity situational awareness;"Information on suspected intentional interference is shared with stakeholders and relevant organisation in the respective region where the operator is located through appropriate channels and procedures to support broader cybersecurity situational awareness.  If agreed upon between stakeholders  common data formats are employed for information sharing to strengthen the protection of the user community.";"ISO27k NIST IR 8270 NIST IR 8401";All;"Ground Space User";Data Modification, Supply Chain Compromise, Third Party non-compliance (supply chain);Mitigation Presence   
105;Capacity building;Cybersecurity awareness and training;Cybersecurity is included in human resources practices and personnel are provided with awareness and training ;Specialized cybersecurity personnel  including privileged users  receive ongoing awareness and training to equip them with the necessary knowledge and skills to undertake their duties with cybersecurity risks in consideration. The content of these training materials is regularly refreshed to reflect current trends and advancements in technology and the threat landscape  updated regulatory standards  and insights gleaned from past incidents.;"BSI TR-03184 NIST CSF 2.0 NIST IR 8323r1 NIST IR 8401 NIST IR 8411 SPARTA";All ;Human Resources;Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized use of equipment, Coercion  extortion or corruption;Mitigation Presence   
106;Capacity building;Cyber threat intelligence;Cyber threat intelligence is collected and analysed;Cyber threat intelligence is collected to enhance the organization's cybersecurity posture continually. This intelligence is commonly sourced from various outlets  including information-sharing forums  and analyzed to discern attack targets and methodologies.;"BSI TR-03184 NIST IR 8270 NIST IR 8323r1 NIST IR 8401 NIST IR 8411";All ;"Ground Space User";Malicious code/software/activity: Software and vulnerabilities exploit;Mitigation Presence  Detection Probability
107;Testing;Software Mission Assurance;Assurance activities are performed according to documented procedures;Procedures and technical methods for performing software assurance are documented and implemented. Audit tests and other assurance activities involving assessment of operational systems should be planned and agreed between the tester and the mission’s management.;ISO27k;All;"Ground Space User";Unauthorized modification: Parameters, Unauthorized access, Inadequate security planning/management, Unauthorized modification: Parameters, Inadequate security planning/management;Mitigation Presence   
108;Testing;Software and Hardware Testing Function;End to end testing is performed according to documented procedures;Procedures and technical methods for conducting end to end testing are documented and implemented. These include negative testing (i.e. abuse cases) of the mission hardware and software as it would be in an operating state (‘test as you fly’).;NASA BPG;"Phase E Phase E";Space ;Resource exhaustion, Unauthorized modification: Parameters, Hijacking, Unauthorized access, Unauthorized access, Operating errors, Inadequate security planning/management;Vulnerability Effectiveness  Mitigation Presence
109;Testing;Dynamic Code Analysis;Dynamic Code Analysis is performed to  identify software/firmware weaknesses and vulnerabilities;"Dynamic code analysis is performed to identify software/firmware weaknesses and vulnerabilities in developed and incorporated code (open source  commercial  or third-party developed code). Testing may include simulation  penetration testing  and fuzzing  among other. Testing should be conducted (1) on potential system elements before acceptance; (2) as a realistic simulation of known adversary tactics  techniques  procedures (TTPs)  and tools; and (3) throughout the lifecycle on physical and logical systems  elements  and processes.  Lab-based learning boards (FLATSATs) as well as digital twins can be used to perform the dynamic analysis depending on the TTPs being executed. Digital twins via instruction set simulation (i.e. emulation) provide a robust environment for dynamic analysis and TTP execution.";SPARTA;All;"Ground Space User";Resource exhaustion, Firmware corruption, Unauthorized modification: Parameters, Unauthorized access, Software misconfiguration, Malicious code/software/activity: Software and vulnerabilities exploit, Manipulation of hardware and software: Zero-Day exploit;Vulnerability Effectiveness  Detection Probability
110;Testing;Static Code Analysis;Static Code Analysis is performed to identify system-relevant weaknesses;"Static source code analysis is performed for all available source code looking for system-relevant weaknesses using no less than two static code analysis tools. A prioritised list of software weakness classes (e.g. Common Weakness Enumerations  CWE) is defined and documented based on system-specific considerations  and used during static code analysis for prioritisation of static analysis results.";SPARTA;"Phase B/C Phase D Phase D ";Ground ;Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Malicious code/software/activity: Network exploit, Unauthorized modification: Parameters, Unauthorized access, Unauthorized access, Manipulation of hardware and software: Zero-Day exploit, Malicious code/software/activity: Software and vulnerabilities exploit;Vulnerability Effectiveness  Detection Probability
111;Testing;Long Duration Testing;Long DurationTesting is performed to identify race conditions and time-based attacks;Testing is performed using hardware or simulation/emulation where the test executes over a long period of time (30+ days). This testing is aimed at identifying race conditions and time-based attacks.;SPARTA;Phase E;"Space User";Unauthorized access, Inadequate security planning/management, Malicious code/software/activity: Software and vulnerabilities exploit;Vulnerability Effectiveness  Detection Probability
112;Testing;Machine Learning Data Integrity;Data integrity testing is performed on AI/ML training datasets ;The integrity of training data sets for AI/ML is used for mission critical operations is tested to ensure there is no data poisoning. Countermeasures that could either block attack attempts or detect malicious inputs before the training cycle occurs are identified and implemented. Regression testing over time  validity checking on data sets  manual analysis  and/or statistical analysis to find potential injects are employed to detect anomalies.;SPARTA;Phase E;User;Data Modification, Unauthorized modification: Parameters, Inadequate security planning/management;Vulnerability Effectiveness  Detection Probability
113;Testing;OSAM Dual Authorization;Multi-factor authentication is employed for OSAM servicers ;Before engaging in a On-orbit Servicing  Assembly  and Manufacturing (OSAM) mission  verification of servicer should be multi-factor authenticated/authorized by both the serviced ground station and the serviced asset.;SPARTA;"Phase B/C  Phase E  Phase F";Ground;Unauthorized modification: Parameters, Unauthorized access, Identity Theft, Abuse of leaked data, Abuse/Falsification of rights, Theft of authentication information;Access Complexity  Privilege Requirement
114;Testing;Simulation Testing;The resilience of segments is tested using attack simulations across the lifecycle;The simulation of information security related attacks (e.g. penetration testing & threat simulations) should be carried out during various segments  the integration  and the operational phase taking into account the ground segment. In the case of particularly vulnerable missions  an attack simulation should also be considered on the check-out system  transport  launch setup  and the phase of the launch campaign. Existing simulator include SPARTA Cyber Exploiter (SPACE) Invader  and from ESA: Ground to Space Threat Simulator (GSTS).;BSI Profile for Space;All ;"Ground Space User Human Resources";Social Engineering, Identity Theft, Abuse/Falsification of rights, Theft of authentication information, Unauthorized modification: Parameters, Unauthorized use of equipment, Unauthorized access, Inadequate security planning/management, Negligence of asset handling security requirements;Vulnerability Effectiveness  Mitigation Presence
115;Testing;Detection processes are tested;Event detection processes are tested to ensure they are operating as intended;Periodic testing is performed to verify the performance of detection processes against the most current threat profiles and vulnerabilities. Devices and components that are upgraded are re-validated with end-to-end user testing. ;NIST IR 8323r1;"Phase D Phase E  Phase E  Phase E";"Ground Space";Unauthorized modification: Parameters, Unauthorized access, Operating errors, Inadequate security planning/management;Vulnerability Effectiveness  Mitigation Presence
116;Continuous Improvement;Detection Processes ;Detection processes are continuously improved;Detection processes are continuously improved and are maintained and tested to promote awareness of anomalous events. This includes maintenance  testing and updating of relevant processes and procedures deployed on information systems and assets as well as analytic processes.;"NIST IR 8323r1 NIST IR 8411";All;"Ground Space User";Unauthorized modification: Parameters, Unauthorized access, Malicious code/software/activity: Network exploit, Network traffic manipulation (TC), Data Modification, Malicious code/software/activity: Software and vulnerabilities exploit;Detection Probability  Response Delay
117;Continuous Improvement;Oversight and governance;Results of organization-wide cybersecurity risk management activities and performance are used to inform  improve  and adjust the risk management strategy. ;Cybersecurity risk assessment results are reviewed to inform and adjust the organisation’s risk strategy and direction. Improvements to organizational cybersecurity risk management processes  procedures and activities are identified across all security capabilities.;NIST CSF 2.0;All;"Ground Space User";This control improves the overall cybersecurity posture of the organization  hence either directly or non-directly addresses all the threats stated in this report. ;Mitigation Presence   
118;Defence capabilities;Maneuverability;Satellite evasive maneuver protocols are implemented;Satellite manoeuvre is an operational tactic that can be used by satellites fitted with chemical thrusters to avoid kinetic and some directed energy ASAT weapons. For unguided projectiles  a satellite can be commanded to move out of their trajectory to avoid impact. If the threat is a guided projectile  like most direct-ascent ASAT and co-orbital ASAT weapons  manoeuvre becomes more difficult and is only likely to be effective if the satellite can move beyond the view of the onboard sensors on the guided warhead.;SPARTA;Phase E;Space;Damage/Destruction of the satellite via the use of ASAT/Proximity operations, Damage/Destruction of segment assets;Mitigation Presence  Resilience Impact
119;Defence capabilities;Defensive Jamming and Spoofing;Jammes and spoofers are employed for defensive operations;A jammer or spoofer can interfere with sensors on an approaching kinetic ASAT weapon  impairing its ability to navigate accurately during the terminal phase of flight. When combined with maneuvering  this tactic enables a satellite to evade a kinetic attack effectively. Such systems could also deceive SDA sensors by manipulating the reflected radar signal  altering the perceived location  velocity  and quantity of detected satellites  resembling digital radio frequency memory (DRFM) jammers utilized in numerous military aircraft. Additionally  a space-based jammer might disrupt an adversary's communication capabilities.;SPARTA;Phase E;Space;Spoofing, Jamming;Mitigation Presence  
120;Defence capabilities;Deception and Decoys;Deception and decoys are employed for defensive capabilities;Deception tactics can be utilized to hide or mislead regarding a satellite's location  capability  operational status  mission type  and/or robustness. Public messaging  like launch announcements  might restrict information or actively spread misinformation about satellite capabilities  and operational techniques can obscure certain capabilities. Another tactic could involve altering satellite capabilities or payloads while in orbit. Satellites with interchangeable payload modules could deploy on-orbit servicing vehicles to periodically transfer payloads between satellites  complicating adversaries' targeting calculations by obscuring which payload is on which satellite. Additionally  satellites may employ tactical decoys to confuse ASAT weapon sensors and SDA systems. These decoys  such as inflatable devices mimicking satellite characteristics or electromagnetic decoys simulating RF signatures  are akin to aircraft using airborne decoys like the ADM-160 Miniature Air-launched Decoy (MALD).;SPARTA;Phase E;Space;Resource exhaustion, Malicious code/software/activity: Network exploit, Malicious code/software/activity: Software and vulnerabilities exploit, Malicious code/software/activity: Malicious injection, Electromagnetic interference, Damage/Destruction of the satellite via the use of ASAT/Proximity operations, Damage/Destruction of segment assets;Mitigation Presence  
121;Defence capabilities;Antenna Nulling and Adaptive Filtering;Antenna nulling and adaptive filtering are employed for defensive operations;Satellites can incorporate antennas designed to suppress signals from specific regions on the Earth's surface or areas in space where jamming is detected  a technique known as 'nulling'. While nulling can effectively counter jamming from identifiable locations  it may inadvertently block transmissions from friendly users within the nullified area. Conversely  adaptive filtering is employed to suppress particular frequency bands irrespective of their source. This method proves advantageous when jamming consistently occurs within certain frequency ranges  allowing satellite transmissions to proceed uninterrupted. However  the efficacy of adaptive filtering may diminish if a wideband jammer disrupts a significant portion of the utilized spectrum  potentially compromising overall system performance.;SPARTA;Phase E;Space;Malicious code/software/activity: Malicious injection, Jamming, Spoofing, Hijacking;Mitigation Presence  
122;Defence capabilities;Physical Seizure;Space traffic control and debris mitigation protocols are established;A spacecraft equipped for docking  manipulating  or maneuvering other satellites or debris can be deployed to prevent space-based attacks or alleviate their aftermath. This system could seize a threatening satellite used for hostile actions or rescue a disabled or hijacked satellite. It could also gather and eliminate harmful orbital debris generated by an attack. However  a key constraint is that each satellite's capability is limited by time and propellant  particularly depending on its orbit. For instance  a satellite stationed in GEO might not be well-suited to capture an object in LEO due to the substantial propellant required for repositioning. Therefore  physical seizure satellites might need to be stationed on Earth and dispatched to a specific orbit when required to counter a particular threat.;SPARTA;Phase E;Space;Seizure of Control, Damage/Destruction of the satellite via the use of ASAT/Proximity operations, Damage/Destruction of segment assets;Mitigation Presence  
123;Defence capabilities;Filtering and Shuttering;Filters and shutters are employed to protect sensors from laser dazzling and blinding ;On remote sensing satellites  filters and shutters serve to safeguard sensors from laser interference. Filters shield sensors by permitting only specific wavelengths of light to pass through  but they are less effective against lasers operating at the same wavelengths the sensors are designed to detect. Shutters  on the other hand  rapidly obstruct or redirect all light to a sensor when an anomaly is detected or a threshold is reached  mitigating potential damage but temporarily interrupting data collection.;SPARTA;Phase E;Space;Data Modification;Mitigation Presence  
124;Defence capabilities;Defensive Dazzling/Blinding;Laser systems are employed to dazzle or blind the optical or infrared sensors of ASAT weapons.;Laser systems can be employed to impair or incapacitate the optical or infrared sensors of an approaching ASAT weapon during its terminal phase. This tactic resembles the use of laser infrared countermeasures on aircraft to counter heat-seeking missiles. By disabling the guidance system of an ASAT weapon and potentially maneuvering to a different position  a satellite could evade a kinetic attack effectively. Additionally  such systems could hinder inspector satellites' ability to image a satellite seeking to conceal its capabilities or disrupt adversary space domain awareness efforts.;SPARTA;Phase E;Space;Damage/Destruction of the satellite via the use of ASAT/Proximity operations, Damage/Destruction of segment assets;Mitigation Presence  
125;Defence capabilities;Protective Technology ;Mechanisms to ensure resilience requirements are defined and employed;Mechanisms such as failsafe systems  load balancing  and hot swapping are implemented to meet resilience requirements under both normal and adverse conditions.;"NIST IR 8401 NIST IR 8411";Phase E;Space;Damage/Destruction of the satellite via the use of ASAT/Proximity operations, Damage/Destruction of segment assets;Mitigation Presence  Resilience Impact
